-7.32805e-06  -4.5869e-05 -0.000823107  -0.00261575 0.00127503 -0.0148604
-7.32805e-06  -4.5869e-05 -0.000823107  -0.00261575 0.00127503 -0.0148604
-7.32805e-06  -4.5869e-05 -0.000823107  -0.00261575 0.00127503 -0.0148604
-7.32805e-06  -4.5869e-05 -0.000823107  -0.00261575 0.00127503 -0.0148604
-7.32805e-06  -4.5869e-05 -0.000823107  -0.00261575 0.00127503 -0.0148604
-2.14954e-05  -4.00844e-05 -0.000899648  -0.00302629 0.00141377 -0.0157246
-2.14954e-05  -4.00844e-05 -0.000899648  -0.00302629 0.00141377 -0.0157246
-3.60653e-05  -3.63473e-05 -0.000989488  -0.00324586 0.00127125 -0.0174706
-3.60653e-05  -3.63473e-05 -0.000989488  -0.00324586 0.00127125 -0.0174706
-3.60653e-05  -3.63473e-05 -0.000989488  -0.00324586 0.00127125 -0.0174706
-3.60653e-05  -3.63473e-05 -0.000989488  -0.00324586 0.00127125 -0.0174706
-3.60653e-05  -3.63473e-05 -0.000989488  -0.00324586 0.00127125 -0.0174706
-4.82641e-05  -3.08206e-05 -0.0010761  -0.00314658 0.0013183 -0.0182689
-4.82641e-05  -3.08206e-05 -0.0010761  -0.00314658 0.0013183 -0.0182689
-4.82641e-05  -3.08206e-05 -0.0010761  -0.00314658 0.0013183 -0.0182689
-4.82641e-05  -3.08206e-05 -0.0010761  -0.00314658 0.0013183 -0.0182689
-4.82641e-05  -3.08206e-05 -0.0010761  -0.00314658 0.0013183 -0.0182689
-5.85644e-05  -2.4992e-05 -0.00116643  -0.00292224 0.00136577 -0.0190397
-5.85644e-05  -2.4992e-05 -0.00116643  -0.00292224 0.00136577 -0.0190397
-5.85644e-05  -2.4992e-05 -0.00116643  -0.00292224 0.00136577 -0.0190397
-5.7172e-05  -1.88508e-05 -0.00125611  -0.00121205 0.00140266 -0.0191895
-5.7172e-05  -1.88508e-05 -0.00125611  -0.00121205 0.00140266 -0.0191895
-5.7172e-05  -1.88508e-05 -0.00125611  -0.00121205 0.00140266 -0.0191895
-5.7172e-05  -1.88508e-05 -0.00125611  -0.00121205 0.00140266 -0.0191895
-6.33287e-05  -0.000165353 -0.00085871  -6.4076e-05 0.000749593 -0.0158987
-6.33287e-05  -0.000165353 -0.00085871  -6.4076e-05 0.000749593 -0.0158987
-6.33287e-05  -0.000165353 -0.00085871  -6.4076e-05 0.000749593 -0.0158987
-6.33287e-05  -0.000165353 -0.00085871  -6.4076e-05 0.000749593 -0.0158987
-6.33287e-05  -0.000165353 -0.00085871  -6.4076e-05 0.000749593 -0.0158987
-6.38207e-05  -0.000161552 -0.00093997  -0.000220933 0.00080648 -0.0168665
-6.38207e-05  -0.000161552 -0.00093997  -0.000220933 0.00080648 -0.0168665
-6.38207e-05  -0.000161552 -0.00093997  -0.000220933 0.00080648 -0.0168665
-6.38207e-05  -0.000161552 -0.00093997  -0.000220933 0.00080648 -0.0168665
-6.38207e-05  -0.000161552 -0.00093997  -0.000220933 0.00080648 -0.0168665
-6.19917e-05  -0.000157268 -0.00103054  -3.09341e-05 0.000886116 -0.0183217
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.87472e-05  -0.000152912 -0.00112037  0.000219424 0.00093809 -0.0190746
-5.36672e-05  -0.000148295 -0.00121351  0.000525244 0.000988809 -0.0197814
